imdb_id,title,year,averageRating,numVotes
tt38949436,Itlu Me Yedava,2025.0,9.7,2189
tt27671386,Maruva Tarama,2025.0,9.7,1846
tt36460794,Kousalya Tanaya Ragava,2025.0,9.7,1212
tt37495011,Jigris,2025.0,9.6,1988
tt36835726,Gopi Galla Goa Trip (3GT),2025.0,9.6,1981
tt34000241,Mannu Kya Karegga,2025.0,9.5,3110
tt32029878,Golden Opulence: 500 Years of Luxury in Anatolia,2024.0,9.5,1682
tt38504130,Godday Godday Chaa 2,2025.0,9.4,2831
tt37937823,Vidhrohi,2025.0,9.4,2084
tt36873019,Krishna Leela,2025.0,9.4,2040
tt37593934,Aatli Baatmi Futli,2025.0,9.4,1097
tt37561269,Raju Gaani Savaal,2025.0,9.4,1083
tt0111161,The Shawshank Redemption,1994.0,9.3,3127321
tt21272942,I Was a Stranger,2024.0,9.3,8429
tt0989831,Jibon Theke Neya,1970.0,9.3,2333
tt29764940,Janam,2023.0,9.3,2178
tt33505969,Irudhi Muyarchi,2025.0,9.3,1048
tt35852307,Love OTP,2025.0,9.3,1034
tt38707440,Rona,2025.0,9.3,1017
tt0068646,The Godfather,1972.0,9.2,2181909
tt0252487,The Chaos Class,1975.0,9.2,45377
tt33175825,Attack on Titan the Movie: The Last Attack,2024.0,9.2,21992
tt38938222,Rajini Gaang,2025.0,9.2,3729
tt32982630,My Hero,2024.0,9.2,2117
tt29436151,4 Girls,2025.0,9.2,1407
tt36188425,Paanch Minar,2025.0,9.2,1028
tt0468569,The Dark Knight,2008.0,9.1,3102864
tt0259534,Ramayana: The Legend of Prince Rama,1993.0,9.1,17415
tt38063392,Mission Muh Dikhayi,2025.0,9.1,9836
tt0249795,Mayabazar,1957.0,9.1,6769
tt0383177,Aguner Poroshmoni,1994.0,9.1,3546
tt35918041,Pelli Kaani Prasad,2025.0,9.1,3411
tt21093976,National Theatre Live: Prima Facie,2022.0,9.1,3273
tt37186862,Sakaal Tar Hou Dya,2025.0,9.1,2158
tt37232949,Paderu 12Mile,2025.0,9.1,2070
tt35498472,Bramhanda,2025.0,9.1,2017
tt37376961,Thank You Dear,2025.0,9.1,1976
tt32856857,Chitti - Potti,2024.0,9.1,1711
tt5375100,Paint Drying,2016.0,9.1,1545
tt36169404,The Suspect,2025.0,9.1,1159
tt32324638,Akkada Varu Ikkada Unnaru,2024.0,9.1,1053
tt0167260,The Lord of the Rings: The Return of the King,2003.0,9.0,2124344
tt0108052,Schindler's List,1993.0,9.0,1560069
tt0071562,The Godfather Part II,1974.0,9.0,1466890
tt0050083,12 Angry Men,1957.0,9.0,960627
tt0353975,Sandesham,1991.0,9.0,6113
tt0249336,Aha Naa Pellanta,1987.0,9.0,3507
tt32089590,Bhale Unnade,2024.0,9.0,3180
tt38428591,Vattakhanal,2025.0,9.0,2749
tt0096403,Time of Violence,1988.0,9.0,2583
tt0267277,Ashi Hi Banwa Banwi,1988.0,9.0,2283
tt30217930,Usha Parinayam,2024.0,9.0,2106
tt36014845,Ghich Pich,2025.0,9.0,2094
tt30326556,Paagal vs Kadhal,2024.0,9.0,2072
tt27426266,Gally Gang Stars,2024.0,9.0,2055
tt33131012,Wedding Diaries,2024.0,9.0,2042
tt5335774,The Yellow Tie,2025.0,9.0,1657
tt32447822,Love in Vietnam,2025.0,9.0,1291
tt28970800,THEVR10: A dokumentumfilm,2023.0,9.0,1257
tt0232152,Nagara Haavu,1972.0,9.0,1237
tt0315255,Bangarada Manushya,1972.0,9.0,1103
tt33268763,Seetharam Sitralu,2024.0,9.0,1042
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001.0,8.9,2160693
tt5354160,Mirror Game,2016.0,8.9,30838
tt0253828,Tosun Pasha,1976.0,8.9,25992
tt5275892,O.J.: Made in America,2016.0,8.9,23561
tt0075143,The Message,1976.0,8.9,11710
tt16747572,The Silence of Swastika,2021.0,8.9,10674
tt0237376,Kireedam,1989.0,8.9,9551
tt5510934,The Unnamed,2016.0,8.9,6085
tt31853193,Gundi: Legend of Love,2024.0,8.9,5822
tt5773402,Dominion,2018.0,8.9,5041
tt3189256,Om,1995.0,8.9,4529
tt38077500,Trikaali,2025.0,8.9,3913
tt0170783,Yesterday,1988.0,8.9,3697
tt0237820,Thaniyavartanam,1987.0,8.9,3587
tt14090476,Sarsenapati Hambirrao,2022.0,8.9,3083
tt21288778,Gandhada Gudi,2022.0,8.9,3038
tt33254177,Anaganaga,2025.0,8.9,2928
tt1935109,Dipu Number 2,1996.0,8.9,2745
tt13577982,Secrets of Sinauli,2021.0,8.9,2242
tt34623304,Drinker Sai,2024.0,8.9,2172
tt32130925,Nenu Keerthana,2024.0,8.9,2100
tt36812691,Premistunnaa,2025.0,8.9,2049
tt15891774,Rudrakshapuram 3KM,2024.0,8.9,2043
tt29959426,Praveen Ips,2024.0,8.9,1999
tt16899584,The Beatles: Get Back - The Rooftop Concert,2022.0,8.9,1869
tt6321972,The Flip Side: A Truth That Could Not Reach You,2015.0,8.9,1797
tt36491337,His Story of Itihaas,2025.0,8.9,1199
tt35851696,Ata Thambaycha Naay!,2025.0,8.9,1086
tt38428491,Love U Muddu,2025.0,8.9,1068
tt29284103,Nene Saroja,2023.0,8.9,1058
tt38235319,Happy Journey,2025.0,8.9,1051
tt1626820,Färyad,1993.0,8.9,1047
tt0259261,Daana Veera Soora Karna,1977.0,8.9,1031
tt31897337,Agrico's,2024.0,8.9,1030
tt29684697,Anukunnavanni Jaragavu Konni,2023.0,8.9,1026
tt1375666,Inception,2010.0,8.8,2757452
tt0137523,Fight Club,1999.0,8.8,2542185
tt0109830,Forrest Gump,1994.0,8.8,2444051
tt0110912,Pulp Fiction,1994.0,8.8,2389135
tt0167261,The Lord of the Rings: The Two Towers,2002.0,8.8,1917797
tt0060196,"The Good, the Bad and the Ugly",1966.0,8.8,877252
tt0253779,The Foster Brothers,1976.0,8.8,22227
tt0084302,The Marathon Family,1982.0,8.8,17917
tt2077886,The Phantom of the Opera at the Royal Albert Hall,2011.0,8.8,10656
tt7391996,C/o Kancharapalem,2018.0,8.8,10242
tt1621830,Monpura,2009.0,8.8,9822
tt0055233,The Human Condition III: A Soldier's Prayer,1961.0,8.8,8380
tt5311546,Natsamrat,2016.0,8.8,7887
tt1754109,Les Misérables in Concert: The 25th Anniversary,2010.0,8.8,6734
tt0282778,Nadodikkattu,1987.0,8.8,6495
tt0311594,Nuvvu Naaku Nachchav,2001.0,8.8,6381
tt27678883,Controll,2025.0,8.8,6220
tt36934451,MST - Terra Prometida,2025.0,8.8,6068
tt15964372,Aparajito,2022.0,8.8,5567
tt0086231,Sagara Sangamam,1983.0,8.8,5284
